"bin_extents","bin_values"
-68.276,1
-67.137,1
-65.997,2
-64.857,2
-63.718,1
-62.578,2
-61.439,3
-60.299,2
-59.159,2
-58.02,2
-56.88,3
-55.74,4
-54.601,3
-53.461,4
-52.321,3
-51.182,5
-50.042,8
-48.902,11
-47.763,11
-46.623,10
-45.483,7
-44.344,9
-43.204,14
-42.064,16
-40.925,22
-39.785,29
-38.645,27
-37.506,32
-36.366,44
-35.227,67
-34.087,63
-32.947,110
-31.808,118
-30.668,146
-29.528,165
-28.389,232
-27.249,305
-26.109,411
-24.97,502
-23.83,684
-22.69,877
-21.551,1199
-20.411,1558
-19.271,2007
-18.132,2660
-16.992,3456
-15.852,4750
-14.713,6147
-13.573,8374
-12.433,11042
-11.294,14475
-10.154,19334
-9.0145,25889
-7.8748,35228
-6.7352,47668
-5.5955,64101
-4.4559,85466
-3.3162,114063
-2.1766,148340
-1.0369,183354
0.10272,213925
1.2424,224247
2.382,208364
3.5217,173874
4.6613,134232
5.801,98535
6.9406,68989
8.0803,46502
9.2199,31256
10.36,20705
11.499,14001
12.639,9322
13.779,6403
14.918,4420
16.058,3000
17.198,2241
18.337,1547
19.477,1059
20.616,735
21.756,555
22.896,391
24.035,302
25.175,233
26.315,150
27.454,125
28.594,71
29.734,43
30.873,21
32.013,17
33.153,15
34.292,12
35.432,4
36.572,5
37.711,3
38.851,2
39.991,1
41.13,2
42.27,1
43.41,0
44.549,2
