"bin_extents","bin_values"
0.036474,15
0.062743,55
0.089012,118
0.11528,228
0.14155,296
0.16782,466
0.19409,651
0.22036,817
0.24663,942
0.27289,1182
0.29916,1392
0.32543,1684
0.3517,1828
0.37797,2058
0.40424,2387
0.43051,2769
0.45678,3323
0.48305,3763
0.50931,4450
0.53558,5307
0.56185,5916
0.58812,6539
0.61439,7212
0.64066,8286
0.66693,9295
0.6932,10173
0.71946,11147
0.74573,12017
0.772,13181
0.79827,13874
0.82454,14432
0.85081,14879
0.87708,15091
0.90335,15716
0.92962,16269
0.95588,17405
0.98215,18227
1.0084,19033
1.0347,19561
1.061,20325
1.0872,21573
1.1135,23014
1.1398,24952
1.166,26722
1.1923,29366
1.2186,32283
1.2448,34476
1.2711,37117
1.2974,39134
1.3236,40897
1.3499,43641
1.3762,47207
1.4025,51335
1.4287,55036
1.455,59196
1.4813,62920
1.5075,66125
1.5338,68945
1.5601,69653
1.5863,69502
1.6126,68520
1.6389,68419
1.6651,64979
1.6914,61353
1.7177,58615
1.744,57897
1.7702,55571
1.7965,53521
1.8228,49756
1.849,46019
1.8753,42324
1.9016,38743
1.9278,35046
1.9541,30774
1.9804,26277
2.0066,22484
2.0329,19097
2.0592,16695
2.0854,13981
2.1117,11664
2.138,9958
2.1643,8379
2.1905,6922
2.2168,5281
2.2431,4126
2.2693,3252
2.2956,2672
2.3219,2188
2.3481,1714
2.3744,1276
2.4007,1059
2.4269,844
2.4532,644
2.4795,548
2.5057,445
2.532,326
2.5583,183
2.5846,96
2.6108,77
2.6371,24
